Dataset,Best_k,Accuracy,NMI,ARI
npz_query,10,0.6985446985446986,0.6399156573302581,0.5364093452093813
coauthorship_cora,10,0.655096011816839,0.4678903265330004,0.4140086703069913
cocitation_cora,20,0.6192762186115214,0.4226036217880391,0.3736872980649772
cocitation_citeseer,20,0.6760265700483091,0.4065734926440916,0.4204218644776245
npz_20news,20,0.7116734392316217,0.4086999910139991,0.4677295929240085
