k,Accuracy,F1-score,NMI,ARI,Runtime,Memory (MB)
2,0.7109346139637975,0.6615695108850994,0.3689733684114997,0.4201750538208396,48.027644872665405,2480.0078125
5,0.5901982514468661,0.567831386652673,0.3423550503485382,0.3360391936756112,47.55804085731506,2583.94140625
10,0.711242457825391,0.6587472057626219,0.4069636490064212,0.46695701853855376,48.086223125457764,2609.90234375
20,0.7116734392316217,0.6586795544316746,0.4086999910139991,0.4677295929240085,47.66056418418884,2613.46484375
50,0.5966629725403275,0.5724830926723957,0.3424218840452617,0.33461607949193517,47.889546632766724,2656.4140625
100,0.596786110084965,0.5720739790421747,0.34226409576619304,0.334606696461809,48.81652092933655,2656.4140625
200,0.6688831424701391,0.5744540400938821,0.41247886140091666,0.4444348179642066,50.288734436035156,2668.4375
500,0.6695603989656447,0.5780239978281817,0.4094461594765437,0.4470754454007664,57.282933950424194,2728.2890625
1000,0.665065878586381,0.573277277328762,0.39959686194039556,0.43523782958279433,59.74133110046387,2843.171875
