k,Accuracy,F1-score,NMI,ARI,Runtime,Memory (MB)
2,0.5487444608567208,0.5029860471847231,0.3353939119311251,0.2735873816701454,1.9404480457305908,273.79296875
5,0.6502954209748892,0.6031521061555621,0.4489217069705647,0.40566087131005674,1.7267282009124756,332.0625
10,0.655096011816839,0.6104595837454633,0.4678903265330004,0.4140086703069913,1.9079604148864746,332.5625
20,0.6026587887740029,0.5412062489523798,0.44660068946041165,0.3717306398355876,2.4042558670043945,334.2265625
50,0.6100443131462334,0.5628822940164084,0.440800051332599,0.36308195820446515,1.7653000354766846,337.05078125
100,0.6211225997045791,0.5772297214697524,0.43945297412869244,0.3633722362938535,1.1573121547698975,342.77734375
200,0.5646233382570163,0.5404570032685393,0.402714929417831,0.3219943816147704,1.564514398574829,348.05078125
500,0.5480059084194978,0.5181442596475216,0.37569581301791033,0.3050873778350984,3.873581886291504,364.578125
1000,0.5365583456425406,0.5035765056731081,0.34499206890286555,0.27405542345628414,4.032618522644043,392.359375
