k,Accuracy,F1-score,NMI,ARI,Runtime,Memory (MB)
2,0.3305613305613306,0.31393801146553074,0.12395125480275739,0.07876461055885302,0.27153635025024414,170.12109375
5,0.6486486486486487,0.6398324295742223,0.5360183525384299,0.4220864506281078,0.26180028915405273,173.74609375
10,0.6985446985446986,0.641790444931995,0.6399156573302581,0.5364093452093813,0.2092599868774414,175.92578125
20,0.5841995841995842,0.5620366994924983,0.5585456355171248,0.39846087672128777,0.2064666748046875,176.140625
50,0.6486486486486487,0.6248427361356018,0.5269023030797743,0.455095660000413,0.2329425811767578,176.24609375
100,0.2515592515592516,0.2302875230815391,0.039177151615228646,0.01859471338426056,0.20676755905151367,177.93359375
200,0.23700623700623702,0.21625873154063033,0.017456706652211728,0.002554921026248821,0.22859859466552734,179.0859375
