k,Accuracy,F1-score,NMI,ARI,Runtime,Memory (MB)
2,0.4379615952732644,0.36906120681763394,0.29813198298317106,0.20592757167872053,0.95841383934021,347.5625
5,0.5048005908419497,0.47859318632177794,0.3303877734153485,0.24390676887976026,0.914259672164917,391.109375
10,0.6030280649926145,0.5167535521265909,0.41055077576139154,0.35914106094710285,0.7797186374664307,391.82421875
20,0.6192762186115214,0.5316571700595973,0.4226036217880391,0.3736872980649772,1.1734514236450195,404.9296875
50,0.6133677991137371,0.5576388621191626,0.4215707540229697,0.3621172870792739,0.9371123313903809,422.2265625
100,0.6070901033973413,0.5761262382341147,0.40425660512460915,0.3412221517002221,0.9964351654052734,427.41796875
200,0.5886262924667651,0.5713486770524342,0.4145064301637646,0.34116708235302573,1.0845651626586914,432.3203125
500,0.5505908419497785,0.47655192550141123,0.36636575298775637,0.29447589605174856,3.7697970867156982,432.8671875
1000,0.6074593796159528,0.5697449779140743,0.36539381010531846,0.3144884279065761,5.060892581939697,471.04296875
